count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 0, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 263.54 W
8, A100-SXM-80GB, 1, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 266.49 W
8, A100-SXM-80GB, 2, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 275.32 W
8, A100-SXM-80GB, 3, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 291.10 W
8, A100-SXM-80GB, 4, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 288.93 W
8, A100-SXM-80GB, 5, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 286.89 W
8, A100-SXM-80GB, 6, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 268.39 W
8, A100-SXM-80GB, 7, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 251.99 W
8, A100-SXM-80GB, 0, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 263.54 W
8, A100-SXM-80GB, 1, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 266.49 W
8, A100-SXM-80GB, 2, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 275.32 W
8, A100-SXM-80GB, 3, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 292.30 W
8, A100-SXM-80GB, 4, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 290.80 W
8, A100-SXM-80GB, 5, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 286.89 W
8, A100-SXM-80GB, 6, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 270.18 W
8, A100-SXM-80GB, 7, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 251.99 W
8, A100-SXM-80GB, 0, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 265.67 W
8, A100-SXM-80GB, 1, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 264.03 W
8, A100-SXM-80GB, 2, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 275.32 W
8, A100-SXM-80GB, 3, 81252 MiB, 3656 MiB, 97 %, 81 %, Enabled, 292.30 W
8, A100-SXM-80GB, 4, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 290.80 W
8, A100-SXM-80GB, 5, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 290.20 W
8, A100-SXM-80GB, 6, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 270.18 W
8, A100-SXM-80GB, 7, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 251.40 W
8, A100-SXM-80GB, 0, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 265.67 W
8, A100-SXM-80GB, 1, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 264.03 W
8, A100-SXM-80GB, 2, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 276.24 W
8, A100-SXM-80GB, 3, 81252 MiB, 3656 MiB, 97 %, 81 %, Enabled, 290.50 W
8, A100-SXM-80GB, 4, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 290.80 W
8, A100-SXM-80GB, 5, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 290.20 W
8, A100-SXM-80GB, 6, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 270.18 W
8, A100-SXM-80GB, 7, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 251.40 W
8, A100-SXM-80GB, 0, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 265.67 W
8, A100-SXM-80GB, 1, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 239.99 W
8, A100-SXM-80GB, 2, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 276.24 W
8, A100-SXM-80GB, 3, 81252 MiB, 3656 MiB, 97 %, 81 %, Enabled, 290.50 W
8, A100-SXM-80GB, 4, 81252 MiB, 3656 MiB, 95 %, 81 %, Enabled, 289.54 W
8, A100-SXM-80GB, 5, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 280.50 W
8, A100-SXM-80GB, 6, 81252 MiB, 3656 MiB, 95 %, 81 %, Enabled, 245.02 W
8, A100-SXM-80GB, 7, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 247.74 W
8, A100-SXM-80GB, 0, 81252 MiB, 3656 MiB, 90 %, 79 %, Enabled, 252.60 W
8, A100-SXM-80GB, 1, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 239.99 W
8, A100-SXM-80GB, 2, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 279.24 W
8, A100-SXM-80GB, 3, 81252 MiB, 3656 MiB, 97 %, 81 %, Enabled, 290.50 W
8, A100-SXM-80GB, 4, 81252 MiB, 3656 MiB, 95 %, 81 %, Enabled, 289.54 W
8, A100-SXM-80GB, 5, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 280.50 W
8, A100-SXM-80GB, 6, 81252 MiB, 3656 MiB, 95 %, 81 %, Enabled, 245.02 W
8, A100-SXM-80GB, 7, 81252 MiB, 3656 MiB, 92 %, 81 %, Enabled, 247.74 W
8, A100-SXM-80GB, 0, 81252 MiB, 3656 MiB, 90 %, 79 %, Enabled, 252.60 W
8, A100-SXM-80GB, 1, 81252 MiB, 3656 MiB, 97 %, 83 %, Enabled, 239.99 W
8, A100-SXM-80GB, 2, 81252 MiB, 3656 MiB, 97 %, 82 %, Enabled, 279.24 W
8, A100-SXM-80GB, 3, 81252 MiB, 3656 MiB, 97 %, 81 %, Enabled, 287.45 W
8, A100-SXM-80GB, 4, 81252 MiB, 3656 MiB, 95 %, 81 %, Enabled, 295.34 W
8, A100-SXM-80GB, 5, 81252 MiB, 3656 MiB, 95 %, 81 %, Enabled, 280.50 W
