count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 78 %, Enabled, 279.24 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 284.71 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 78 %, Enabled, 284.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 284.71 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 78 %, Enabled, 284.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 284.71 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 78 %, Enabled, 284.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 284.71 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 78 %, Enabled, 284.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 284.71 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 78 %, Enabled, 284.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 284.71 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 78 %, Enabled, 284.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 277.12 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 277.12 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 277.12 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 277.12 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 277.12 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 78 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 277.12 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 77 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 274.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 77 %, Enabled, 276.53 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 274.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 77 %, Enabled, 276.53 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 77 %, Enabled, 274.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 97 %, 77 %, Enabled, 276.53 W
