count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 270.41 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 278.08 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 289.23 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 278.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 258.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 252.25 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 258.64 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 263.10 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 270.41 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 281.70 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 289.23 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 278.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 258.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 252.25 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 267.46 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 259.44 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 270.41 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 281.70 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 294.71 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 282.61 W
