count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 4, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 286.49 W
8, A100-SXM-80GB, 5, 81252 MiB, 6288 MiB, 98 %, 86 %, Enabled, 320.77 W
8, A100-SXM-80GB, 6, 81252 MiB, 6286 MiB, 98 %, 86 %, Enabled, 312.88 W
8, A100-SXM-80GB, 7, 81252 MiB, 6286 MiB, 96 %, 85 %, Enabled, 269.26 W
8, A100-SXM-80GB, 4, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 286.49 W
8, A100-SXM-80GB, 5, 81252 MiB, 6288 MiB, 98 %, 86 %, Enabled, 320.77 W
8, A100-SXM-80GB, 6, 81252 MiB, 6286 MiB, 98 %, 86 %, Enabled, 312.88 W
8, A100-SXM-80GB, 7, 81252 MiB, 6286 MiB, 96 %, 85 %, Enabled, 269.26 W
8, A100-SXM-80GB, 4, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 286.49 W
8, A100-SXM-80GB, 5, 81252 MiB, 6288 MiB, 98 %, 86 %, Enabled, 318.33 W
8, A100-SXM-80GB, 6, 81252 MiB, 6286 MiB, 98 %, 86 %, Enabled, 312.88 W
8, A100-SXM-80GB, 7, 81252 MiB, 6286 MiB, 96 %, 85 %, Enabled, 269.26 W
8, A100-SXM-80GB, 4, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 286.49 W
8, A100-SXM-80GB, 5, 81252 MiB, 6288 MiB, 98 %, 86 %, Enabled, 318.33 W
8, A100-SXM-80GB, 6, 81252 MiB, 6286 MiB, 98 %, 86 %, Enabled, 312.88 W
8, A100-SXM-80GB, 7, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 271.39 W
8, A100-SXM-80GB, 4, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 287.42 W
8, A100-SXM-80GB, 5, 81252 MiB, 6288 MiB, 98 %, 86 %, Enabled, 318.33 W
8, A100-SXM-80GB, 6, 81252 MiB, 6286 MiB, 98 %, 87 %, Enabled, 298.96 W
8, A100-SXM-80GB, 7, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 271.39 W
8, A100-SXM-80GB, 4, 81252 MiB, 6286 MiB, 95 %, 86 %, Enabled, 287.42 W
8, A100-SXM-80GB, 5, 81252 MiB, 6288 MiB, 98 %, 86 %, Enabled, 318.33 W
8, A100-SXM-80GB, 6, 81252 MiB, 6286 MiB, 98 %, 87 %, Enabled, 298.96 W
8, A100-SXM-80GB, 7, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 271.39 W
8, A100-SXM-80GB, 4, 81252 MiB, 6286 MiB, 95 %, 86 %, Enabled, 287.42 W
8, A100-SXM-80GB, 5, 81252 MiB, 6288 MiB, 98 %, 86 %, Enabled, 313.22 W
8, A100-SXM-80GB, 6, 81252 MiB, 6286 MiB, 98 %, 87 %, Enabled, 298.96 W
8, A100-SXM-80GB, 7, 81252 MiB, 6286 MiB, 95 %, 85 %, Enabled, 271.39 W
