count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 332.40 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 309.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 332.40 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 309.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 332.40 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 309.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 332.40 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 309.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 332.40 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 309.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 337.85 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 309.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 337.85 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 315.99 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 337.85 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 315.99 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 337.85 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 315.99 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 337.85 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 315.99 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 337.85 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 315.99 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 324.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 315.99 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 324.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 322.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 324.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 322.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 324.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 322.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 324.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 322.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 324.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 322.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 319.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 322.38 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 319.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 330.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 319.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 330.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 319.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 330.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 319.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 330.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 319.04 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 330.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 327.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 330.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 327.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 329.02 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 327.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 329.02 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 88 %, Enabled, 327.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 329.02 W
8, A100-SXM-80GB, 6, 81252 MiB, 11552 MiB, 98 %, 89 %, Enabled, 327.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 11550 MiB, 98 %, 88 %, Enabled, 329.02 W
