count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 264.96 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 264.96 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 264.96 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 270.13 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 271.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 270.13 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 271.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 270.13 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 271.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 270.13 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 271.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 270.13 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 271.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 270.13 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 271.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 262.51 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 261.90 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 262.51 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 261.90 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 262.51 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 261.90 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 262.51 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 261.90 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 262.51 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 261.90 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 262.51 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 261.90 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 268.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 274.07 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 260.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 265.56 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 97 %, 56 %, Enabled, 260.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 265.56 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 98 %, 56 %, Enabled, 260.10 W
8, A100-SXM-80GB, 7, 81252 MiB, 6154 MiB, 98 %, 56 %, Enabled, 265.56 W
8, A100-SXM-80GB, 6, 81252 MiB, 6156 MiB, 98 %, 56 %, Enabled, 260.10 W
