count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 91 %, 72 %, Enabled, 288.96 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 74 %, Enabled, 299.28 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 95 %, 72 %, Enabled, 290.17 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 92 %, 72 %, Enabled, 277.44 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 91 %, 72 %, Enabled, 288.96 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 74 %, Enabled, 295.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 95 %, 72 %, Enabled, 291.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 92 %, 72 %, Enabled, 277.44 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 91 %, 72 %, Enabled, 288.96 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 74 %, Enabled, 295.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 95 %, 72 %, Enabled, 291.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 73 %, Enabled, 277.44 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 91 %, 72 %, Enabled, 291.70 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 74 %, Enabled, 295.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 95 %, 72 %, Enabled, 291.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 73 %, Enabled, 277.44 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 91 %, 72 %, Enabled, 291.70 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 74 %, Enabled, 295.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 97 %, 74 %, Enabled, 291.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 73 %, Enabled, 275.59 W
