count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 282.83 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 96 %, 54 %, Enabled, 283.51 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 265.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 268.34 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 282.83 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 283.51 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 265.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 268.94 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 282.83 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 283.51 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 265.61 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 268.94 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 285.89 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 283.51 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 274.70 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 268.94 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 285.89 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 280.79 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 274.70 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 268.94 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 285.89 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 280.79 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 96 %, 54 %, Enabled, 274.70 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 269.86 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 285.89 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 280.79 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 98 %, 55 %, Enabled, 274.70 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 269.86 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 282.54 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 280.79 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 98 %, 55 %, Enabled, 273.83 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 269.86 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 95 %, 54 %, Enabled, 282.54 W
8, A100-SXM-80GB, 5, 81252 MiB, 3524 MiB, 97 %, 54 %, Enabled, 279.27 W
8, A100-SXM-80GB, 6, 81252 MiB, 3522 MiB, 98 %, 55 %, Enabled, 273.83 W
8, A100-SXM-80GB, 7, 81252 MiB, 3522 MiB, 94 %, 53 %, Enabled, 269.86 W
8, A100-SXM-80GB, 4, 81252 MiB, 3522 MiB, 95 %, 54 %, Enabled, 282.54 W
